"VM","PowerState","DNSName","IPAddress","HWVersion","GuestOSVMTools","GuestOSConfigFile","GuestFamily","CPUSockets","CPUCores","IsUseMB","ProvisionedMB","UnsharedMB","Memory","VMToolsStatus","CBT","Snapshot","Template","Path","ID","vCenter"
"pure-plugin","poweredOn","fs-mgmt-plugin.puretec.purestorage.com","10.21.210.251","vmx-10","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","4","4","51627129956","51627130484","42949672960","8192","toolsOk","False","False","False","[FlashStack-Prod] pure-plugin_1/pure-plugin.vmx","vm-66","flashstack-vcenter.puretec.purestorage.com"
"pure-collector","poweredOn","fs-mgmt-collector.puretec.purestorage.com","10.21.210.252","vmx-10","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","4","4","51627157694","51627158225","42949672960","8192","toolsOk","False","False","False","[FlashStack-Prod] pure-collector_1/pure-collector.vmx","vm-68","flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master1","poweredOn","ocpportwx-master1.fslab.local","10.129.0.2","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","linuxGuest","16","16","309211850660","371626241799","240380805120","65536","toolsOk","False","False","False","[FlashStack-Prod] ocpportwx-master1/ocpportwx-master1.vmx","vm-721","flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master2","poweredOn","ocpportwx-master2.fslab.local","10.21.210.42","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","4","4","323076935329","328663750148","297208381440","24576","toolsOk","False","False","False","[FlashStack-Prod] ocpportwx-master2/ocpportwx-master2.vmx","vm-722","flashstack-vcenter.puretec.purestorage.com"
"ocpportwx-master3","poweredOn","ocpportwx-master3.fslab.local","10.21.210.43","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","4","4","328144696350","328663743361","302276149248","24576","toolsOk","False","False","False","[FlashStack-Prod] ocpportwx-master3/ocpportwx-master3.vmx","vm-723","flashstack-vcenter.puretec.purestorage.com"
"fs-prometheuslab","poweredOn","fs-prometheuslab","10.21.210.34","vmx-19","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","linuxGuest","4","4","92745354659","734008304324","15325986816","24576","toolsOk","False","True","False","[FlashStack-Prod] fs-prometheuslab/fs-prometheuslab.vmx","vm-724","flashstack-vcenter.puretec.purestorage.com"
"fs-victoriametricslab","poweredOn","fs-victoriametricslab","10.21.210.33","vmx-19","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","linuxGuest","4","4","36547411089","676592960327","10689183744","24576","toolsOk","False","True","False","[FlashStack-Prod] fs-victoriametricslab/fs-victoriametricslab.vmx","vm-730","flashstack-vcenter.puretec.purestorage.com"
"win-jump","poweredOn","win-jump","10.21.210.238","vmx-17","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2019 (64-bit)","windowsGuest","2","4","157425093790","169737473735","148748894208","8192","toolsOld","False","False","False","[FlashStack-Misc] win-jump/win-jump.vmx","vm-803039","flashstack-vcenter.puretec.purestorage.com"
"oracle-vm-1.puretec.purestorage.com","poweredOn","oracle-vm-1","10.21.210.4","vmx-19","Oracle Linux 8 (64-bit)","Oracle Linux 4/5 (64-bit)","linuxGuest","16","32","29511393784","661524850230","12231639040","16384","toolsOk","False","False","False","[FlashStack-Prod] oracle-vm-1.puretec.purestorage.com/oracle-vm-1.puretec.purestorage.com.vmx","vm-803120","flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test","poweredOff","localhost.localdomain",,"vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","2","2","2382793239","99012627997","2382364672","2048","toolsNotRunning","False","False","True","[FlashStack-Misc] Rhel-Test/Rhel-Test.vmtx","vm-803132","flashstack-vcenter.puretec.purestorage.com"
"host-420","poweredOn","host-420","10.21.210.203","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","1","1","5249609354","97794831013","4091543552","1024","toolsOk","False","False","False","[FlashStack-Prod] host-420/host-420.vmx","vm-803133","flashstack-vcenter.puretec.purestorage.com"
"mssql-test-1.puretec.purestorage.com","poweredOn","mssql-test-1","10.21.210.5","vmx-19","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","windowsGuest","16","32","29370884600","285715211831","12091129856","16384","toolsOld","False","False","False","[FlashStack-Misc] mssql-test-1.puretec.purestorage.com/mssql-test-1.puretec.purestorage.com.vmx","vm-803136","flashstack-vcenter.puretec.purestorage.com"
"Win-424","poweredOn","Win-424","10.21.210.70","vmx-19","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","windowsGuest","1","1","14264256071","108532287599","13106151424","1024","toolsOld","False","False","False","[FlashStack-Prod] Win-424/Win-424.vmx","vm-803137","flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff",,,"vmx-10",,"CentOS 4/5/6/7 (64-bit)",,"16","16","4667211776","572269666117","4667211776","32768","toolsNotInstalled","False","False","False","[FlashStack-Prod] intersight-appliance/intersight-appliance.vmx","vm-803140","flashstack-vcenter.puretec.purestorage.com"
"Win-438","poweredOn","Win-438","10.21.210.214","vmx-19","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","windowsGuest","1","1","13998965918","108532287174","12840861696","1024","toolsOld","False","False","False","[FlashStack-Prod] Win-438/Win-438.vmx","vm-803143","flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test-Template","poweredOff",,,"vmx-19",,"Red Hat Enterprise Linux 8 (64-bit)",,"2","2","2382635512","99012470311","2382364672","2048","toolsNotRunning","False","False","True","[FlashStack-Misc] Rhel-Test-Template/Rhel-Test-Template.vmtx","vm-803148","flashstack-vcenter.puretec.purestorage.com"
"host-447","poweredOn","host-447","10.21.210.80","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","1","1","5265330925","97794823944","4107272192","1024","toolsOk","False","False","False","[FlashStack-Prod] host-447/host-447.vmx","vm-803149","flashstack-vcenter.puretec.purestorage.com"
"host-484","poweredOn","host-484","10.21.210.74","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","1","1","3571871987","44107723546","2413821952","1024","toolsOk","False","False","False","[FlashStack-Prod] host-484/host-484.vmx","vm-803155","flashstack-vcenter.puretec.purestorage.com"
"host-482","poweredOn","host-482","10.21.210.72","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","1","1","3562461046","44107749789","2404384768","1024","toolsOk","False","False","False","[FlashStack-Prod] host-482/host-482.vmx","vm-803156","flashstack-vcenter.puretec.purestorage.com"
"host-483","poweredOn","host-483","10.21.210.73","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","1","1","3562435165","44107723908","2404384768","1024","toolsOk","False","False","False","[FlashStack-Prod] host-483/host-483.vmx","vm-803157","flashstack-vcenter.puretec.purestorage.com"
