"VM","PowerState","Template","Disk","CapacityMB","Raw","DiskMode","Path","Host","vCenter"
"VBRReady","poweredOff","False","Hard disk 2","409600","False","persistent","[FlashStack-Misc] VBRReady/VBRReady_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"VBRReady","poweredOff","False","Hard disk 3","307200","False","persistent","[FlashStack-Misc] VBRReady/VBRReady_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vrlscm","poweredOn","False","Hard disk 1","10240","False","persistent","[FlashStack-Misc] fs-vrlscm/fs-vrlscm-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vrlscm","poweredOn","False","Hard disk 2","81920","False","persistent","[FlashStack-Misc] fs-vrlscm/fs-vrlscm_1-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vrlscm","poweredOn","False","Hard disk 3","10240","False","persistent","[FlashStack-Misc] fs-vrlscm/fs-vrlscm_2-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"fs-vrlscm","poweredOn","False","Hard disk 4","8192","False","persistent","[FlashStack-Misc] fs-vrlscm/fs-vrlscm_3-000003.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"anisblesim-node2","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] anisblesim-node2/anisblesim-node2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"rheltemplate-fslab","poweredOff","True","Hard disk 1","40960","False","persistent","[FlashStack-Prod] rheltemplate-fslab/rheltemplate-fslab-000002.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Aditya-jumpbox","poweredOn","False","Hard disk 1","92160","False","persistent","[FlashStack-Misc] Aditya-jumpbox/Aditya-jumpbox.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Jumpbox-AG","poweredOn","False","Hard disk 1","92160","False","persistent","[FlashStack-Misc] Jumpbox-AG/Jumpbox-AG.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"FlashStack-VC","poweredOn","False","Hard disk 1","49728","False","persistent","[FlashStack-Prod] FlashStack-VC/FlashStack-VC-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"FlashStack-VC","poweredOn","False","Hard disk 2","5733","False","persistent","[FlashStack-Prod] FlashStack-VC/FlashStack-VC_1-000001.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
